{ 09 41 A0 6D 23 00 3B 28 00 00 00 00 00 }, Delta:688.471ms, Position:[9069,10299], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 52 23 00 40 28 00 00 00 00 00 }, Delta:11.190ms, Position:[9042,10304], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 3D 23 00 3C 28 00 00 00 00 00 }, Delta:0.303ms, Position:[9021,10300], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 2B 23 00 39 28 00 00 00 00 00 }, Delta:0.296ms, Position:[9003,10297], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 27 23 00 32 28 00 00 00 00 00 }, Delta:25.700ms, Position:[8999,10290], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 34 23 00 21 28 00 00 00 00 00 }, Delta:0.659ms, Position:[9012,10273], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 58 23 00 02 28 00 00 00 00 00 }, Delta:0.993ms, Position:[9048,10242], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 88 23 00 D8 27 00 00 00 00 00 }, Delta:1.141ms, Position:[9096,10200], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 E8 23 00 95 27 00 00 00 00 00 }, Delta:0.474ms, Position:[9192,10133], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 48 24 00 4C 27 00 00 00 00 00 }, Delta:1.259ms, Position:[9288,10060], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 AC 24 00 FD 26 00 00 00 00 00 }, Delta:0.528ms, Position:[9388,9981], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 10 25 00 A6 26 00 00 00 00 00 }, Delta:0.379ms, Position:[9488,9894], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 6C 25 00 47 26 00 00 00 00 00 }, Delta:2.843ms, Position:[9580,9799], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 B5 25 00 E9 25 00 00 00 00 00 }, Delta:3.437ms, Position:[9653,9705], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 EA 25 00 90 25 00 00 00 00 00 }, Delta:24.540ms, Position:[9706,9616], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
